Country,Literacy Rate,GDP (Current USD),,GDP Growth (% Annual),GDP per Capita (Current USD),,Unemployment Rate (%)
Afghanistan,43,,17233051620,2.710886791,415.7074171,,13.991
Albania,98.1,,23547179830,3.936625257,8575.171134,,10.108
Algeria,81.4,,2.47626E+11,4.1,5364.02795,,11.701
Andorra,100,,3785067332,2.58355481,46812.44845,,3.7
Angola,71.1,,84824654482,1.00128936,2308.159767,,14.537
Antigua and Barbuda,99,,2033085185,3.862012187,21787.10173,,7.7
Argentina,99,,6.46075E+11,-1.611001621,14187.48273,,6.139
Armenia,99.8,,24085749592,8.3,8053.010663,,13.245
Australia,99,,1.72806E+12,3.4419922,64820.91179,,3.668
Austria,98,,5.11685E+11,-0.954962367,56033.57379,,5.264
Azerbaijan,99.8,,72356176471,1.123974327,7125.908584,,5.636
The Bahamas,95.6,,14338500000,2.639055981,35896.50511,,8.643
Bahrain,95.7,,46079867021,2.980792767,29218.86056,,1.154
Bangladesh,75.9,,4.37415E+11,5.77511237,2551.017727,,4.454
Barbados,99.6,,6720733200,4.09382011,23804.02499,,7.878
Belarus,100,,71857382746,3.886242145,7829.053137,,3.461
Belgium,99,,6.44783E+11,1.251700632,54700.90932,,5.528
Belize,82.1,,3066850000,1.149016821,7459.998151,,8.267
Benin,42.4,,19676049076,6.352821609,1394.373302,,1.657
Bhutan,68.4,,2328700465,4.54621742,3115.119678,,3.126
Bolivia,92.5,,45135398009,3.081965241,3686.279965,,3.024
Bosnia and Herzegovina,98.5,,27514782476,2.211124472,8638.666202,,10.668
Botswana,88.5,,19396084498,2.73379817,7820.232404,,23.381
Brazil,93.2,,2.17367E+12,2.908480487,10294.86668,,7.947
Brunei,97.2,,15128292981,1.407068323,32962.90651,,5.183
Bulgaria,98,,1.02408E+11,1.886814839,15885.53913,,4.319
Burkina Faso,41.2,,20324617845,2.960181474,882.6898101,,5.348
Burundi,68.4,,2642161669,2.700000597,193.0071456,,1.9
Ivory Coast,89.9,,78875489245,6.2,2530.846593,,2.27
Cape Verde,87.6,,2533819406,5.475435916,4850.984158,,11.971
Cambodia,83.9,,42335646896,4.960066589,2429.748535,,0.225
Cameroon,77.1,,49279410983,3.248344978,1736.860911,,3.613
Canada,99,,2.14247E+12,1.248927304,53431.18571,,5.415
Central African Republic,37.4,,2555492085,0.870251451,495.9788972,,5.877
Chad,26.8,,13149325362,4.12231962,680.6398779,,1.074
Chile,97,,3.35533E+11,0.218780667,17067.81362,,9.013
China,97.2,,1.77948E+13,5.249557864,12614.06174,,4.67
Colombia,94.6,,3.63494E+11,0.610409566,6947.359287,,9.594
Comoros,58.8,,1352380971,2.995674572,1590.312377,,3.776
Republic of the Congo,80.3,,15321055823,1.906864263,2477.978455,,19.898
Costa Rica,97.9,,86497941439,5.111921832,16942.02681,,8.325
Croatia,99.3,,84393795502,3.302544881,21865.45628,,6.086
Cuba,99.8,,85971083684,-1.928992112,7638.245972,,1.719
Cyprus,99.1,,33886930712,2.611900909,36551.41797,,6.098
Czech Republic,99.8,,3.43208E+11,-0.085330276,31591.17707,,2.579
Democratic Republic of the Congo,77,,66383287003,8.560862509,627.5021817,,4.484
Denmark,99,,4.07092E+11,2.495184331,68453.87693,,5.094
Djibouti,70,,4098530514,6.676649644,3554.839189,,26.154
Dominica,94,,653992592.6,4.712238185,9832.996431,,9.4
Dominican Republic,93.8,,1.21444E+11,2.360615687,10717.62767,,5.555
Ecuador,94,,1.18845E+11,2.355217907,6609.804082,,3.51
Egypt,73,,3.96002E+11,3.758700552,3457.456916,,7.334
El Salvador,89.1,,34015620000,3.510977066,5391.069262,,2.992
Equatorial Guinea,95.3,,12337550584,-5.089308721,6677.793435,,8.367
Eritrea,76.6,,1827258537,5.436995225,614.1905858,,5.586
Estonia,99.8,,41291245222,-3.023035841,30133.30445,,6.378
Eswatini,88.4,,4442875788,5.014904713,3610.608797,,35.086
Ethiopia,51.8,,1.63698E+11,6.498134642,1272.016282,,3.402
Fiji,99.1,,5442046565,7.524290882,5888.736686,,4.322
Finland,99,,2.95532E+11,-1.163962815,52925.68976,,7.151
France,99,,3.05183E+12,0.936487503,44690.93454,,7.335
Gabon,84.7,,19388402542,2.445880831,7802.836596,,20.278
Georgia,99.6,,30777833585,7.832201215,8283.669602,,11.537
Germany,99,,4.5257E+12,-0.26643841,54343.22651,,3.068
Ghana,79,,76370396722,2.944785831,2260.287413,,3.063
Greece,97.9,,2.43498E+11,2.332123883,23400.72788,,11.066
Grenada,96,,1316733333,3.566128618,11246.34512,,13.2
Guatemala,83.3,,1.0445E+11,3.526792142,5762.821746,,2.344
Guinea,30.4,,22199409741,6.744934446,1541.040509,,5.244
Guinea-Bissau,47,,2048348108,5.199268297,951.2427483,,2.65
Guyana,88.5,,17159509565,33.80261709,20765.35036,,12.025
Haiti,61.7,,19850829758,-1.863884203,1705.779055,,14.556
Honduras,89,,34400509852,3.582603626,3231.657245,,6.07
Hungary,99.1,,2.12389E+11,-0.907685956,22141.86698,,4.107
Iceland,99,,31325116556,5.03717944,79636.95486,,3.518
India,77.7,,3.56755E+12,8.152936311,2480.792087,,4.172
Indonesia,96,,1.37117E+12,5.048105771,4876.314327,,3.308
Iran,89.5,,4.04626E+11,5.044890511,4465.63767,,9.041
Iraq,86.5,,2.50843E+11,-2.93555774,5565.126446,,15.447
Republic of Ireland,99,,5.51395E+11,-5.530007361,103887.8004,,4.288
Israel,97.1,,5.13611E+11,2.42300691,52642.42675,,3.596
Italy,99,,2.30094E+12,0.697632994,39003.3161,,7.627
Jamaica,88.7,,19423355409,2.200061472,6839.725039,,4.4
Japan,99,,4.20449E+12,1.679019523,33766.52683,,2.6
Jordan,98,,50967475352,2.678271538,4455.505405,,17.969
Kazakhstan,99.8,,2.62642E+11,5.1,12918.86613,,4.821
Kenya,82.6,,1.08039E+11,5.555873013,1952.304579,,5.567
Kiribati,91,,279208903.3,4.124590543,2106.760004,,30.6
Kuwait,96.6,,1.63705E+11,-3.640425903,33729.79855,,2.127
Kyrgyzstan,99.6,,13987627909,6.151391837,1970.15781,,3.991
